PartitionKey,RowKey,Timestamp,list
6,noun,2016-01-29T21:26:21.974Z,"[""noun:01,5,04,3,25,4,12,"",""adjective:12021""]"
6 june 1944,noun,2016-01-29T21:56:28.504Z,"[""noun:99,7709""]"
6-membered,adjective,2016-01-29T22:54:42.165Z,"[""adjective:8248""]"
60,noun,2016-01-29T21:26:38.520Z,"[""noun:01,5,04,3,25,5,24,"",""adjective:12075""]"
60 minutes,noun,2016-01-29T21:58:13.519Z,"[""noun:01,5,15,07,""]"
60th,adjective,2016-01-29T23:07:01.629Z,"[""adjective:12202""]"
61,adjective,2016-01-29T23:06:13.838Z,"[""adjective:12076""]"
62,adjective,2016-01-29T23:06:14.435Z,"[""adjective:12077""]"
63,adjective,2016-01-29T23:06:15.040Z,"[""adjective:12078""]"
64,adjective,2016-01-29T23:06:15.566Z,"[""adjective:12079""]"
64th,adjective,2016-01-29T23:07:01.825Z,"[""adjective:12203""]"
65,adjective,2016-01-29T23:06:16.166Z,"[""adjective:12080""]"
65th,adjective,2016-01-29T23:07:02.225Z,"[""adjective:12204""]"
66,adjective,2016-01-29T23:06:16.768Z,"[""adjective:12081""]"
67,adjective,2016-01-29T23:06:17.365Z,"[""adjective:12082""]"
68,adjective,2016-01-29T23:06:18.282Z,"[""adjective:12083""]"
69,adjective,2016-01-29T23:06:18.684Z,"[""adjective:12084""]"
6th,adjective,2016-01-29T23:06:46.619Z,"[""adjective:12155""]"
7,noun,2016-01-29T21:26:23.429Z,"[""noun:01,5,04,3,25,4,13,"",""adjective:12022""]"
7-membered,adjective,2016-01-29T22:54:42.560Z,"[""adjective:8249""]"
70,noun,2016-01-29T21:26:38.852Z,"[""noun:01,5,04,3,25,5,25,"",""adjective:12085""]"
70th,adjective,2016-01-29T23:07:02.432Z,"[""adjective:12205""]"
71,adjective,2016-01-29T23:06:19.277Z,"[""adjective:12086""]"
72,adjective,2016-01-29T23:06:19.827Z,"[""adjective:12087""]"
73,adjective,2016-01-29T23:06:20.354Z,"[""adjective:12088""]"
